"","number","title","classification","timestamp","geometry","distclean","distdirty"
"1",637,"Report 637: Campers' encounter just after dark in the Wrangell - St. Elias National Park and Preserve","Class A","2000-06-16T12:00:00Z",c(-142.9, 61.5),65.2594826020709,32.0643244347983
"2",2917,"Report 2917: Family observes large biped from car","Class A","1995-05-15T12:00:00Z",c(-132.7982, 55.1872),52.527697019858,67.3299186324327
"3",7963,"Report 7963: Sasquatch walks past window of house at night","Class A","2004-02-09T12:00:00Z",c(-132.8202, 55.2035),52.5142382883918,30.4093170072923
"4",9317,"Report 9317: Driver on Alcan Highway has noon, road encounter near Alaska-Canada border","Class A","2004-06-18T12:00:00Z",c(-141.5667, 62.9375),63.1401558266211,43.6829828520214
"5",13038,"Report 13038: Snowmobiler has encounter in deep snow near Potter, AK","Class A","2004-02-15T12:00:00Z",c(-149.7853, 61.0595),86.9188059474473,70.2300343764689
"6",23666,"Report 23666: Passenger on the Alcan Highway sees a tall bipedal creature walk across the road","Class A","2008-04-23T12:00:00Z",c(-141.3165, 62.77335),65.8954065312029,62.5004075535712
"7",26604,"Report 26604: Daytime sighting of reddish-colored bigfoot near Fairbanks","Class A","2009-07-15T12:00:00Z",c(-147.8142, 64.89139),75.4502227424949,72.2175948404965
"8",179,"Report 179: Man and witnesses have two seperate sighting, 1st while fishing, 2nd while driving","Class A","1981-09-15T12:00:00Z",c(-85.16235, 32.31435),24.9888741572124,35.9382753560184
"9",245,"Report 245: Two outdoorsman fishing, loud vocalizations, footsteps heard","Class A","1999-07-15T12:00:00Z",c(-87.32655, 33.28375),26.2723408592573,37.9369571848481
"10",416,"Report 416: A resident's early evening sighting next to his home near New Market","Class A","1983-11-15T12:00:00Z",c(-86.4559, 34.95605),7.9433749327663,33.5507576317212
"11",435,"Report 435: Daylight sighting by husband and wife near home near Valhermosa Springs","Class A","2000-10-10T12:00:00Z",c(-86.66465, 34.5422),8.42211136547719,29.0803287272084
"12",451,"Report 451: Young man has sighting near home","Class A","1993-08-20T12:00:00Z",c(-87.02025, 34.9263),8.24150710201114,11.9229413393885
"13",577,"Report 577: Man has repeated visits at family farm","Class A","1999-11-15T12:00:00Z",c(-87.50905, 34.80405),29.8425439884907,12.3458693223685
"14",799,"Report 799: Person fishing recounts story of his encounter with a large, bipedal creature that was wading in the water","Class A","1978-04-15T12:00:00Z",c(-87.1105, 34.92855),12.1170852783374,29.1036690007033
"15",832,"Report 832: Witnesses spot a tall, brown object moving on a hill, also reported are moans and a sighting where red eyes are described","Class A","1980-11-15T12:00:00Z",c(-88.17885, 33.13195),12.952877638,24.7878939388767
"16",961,"Report 961: Motorist confronted by hairy, man-like creature on roadside","Class A","1997-01-06T12:00:00Z",c(-88.08305, 31.4515),18.281748030276,30.2416801420242
"17",1022,"Report 1022: Hunters observe creature walking in the woods","Class A","1990-09-15T12:00:00Z",c(-87.45876, 33.97575),12.0693991845535,23.5036206235997
"18",1907,"Report 1907: Motorist sees Bigfoot like creature, hears scream","Class A","1996-12-05T12:00:00Z",c(-87.96095, 31.58255),29.1721164149089,22.9802781842388
"19",3028,"Report 3028: Daylight sighting by lady while her husband was clearing trees","Class A","2000-06-01T12:00:00Z",c(-86.6333, 34.4881),26.783762805476,30.3382633683934
